文档,摘要,模型预测摘要
纽约时间9月16日，纽约时报广场大屏幕上滚动播放着魏晨与国际设计师TommyHilfiger在此次时装周上的合照，并介绍了他此次的纽约之行，右下角还配有魏晨2013最新音乐专辑《登“封”造极》。,魏 晨 登 时 报 广 场 大 屏 幕 诠 释 纽 约 之 行,纽 约 时 报 ： 登 场 时 刻 下 周 登 场
李宗盛暌违北京6年之后，终于宣布11月16日在北京首都体育馆举行“既然青春留不住”北京演唱会。从09年纵贯线巡演后，李宗盛就淡出台前专注于吉他事业。面对众多期待，李宗盛表示将在演唱会献唱新歌《山丘》。,李 宗 盛 暌 违 六 年 北 京 再 开 唱 将 首 唱 新 歌,北 京 唱 歌 将 演 唱 会 唱 歌
玖月奇迹2013年全新单曲《思念的方向》全网首发。此次，玖月奇迹摒弃以往快节奏音乐风格，以缓慢抒情的曲风致敬中国传统佳节“中秋”，借明月当空倾述内心深处的那段思念。,玖 月 奇 迹 《 思 念 的 方 向 》 借 明 月 倾 述 思 念,中 秋 节 单 曲 月 底 全 线 思 念
据台媒报道，台湾57岁音乐人李坤城与17岁林姓小女友交往，本月初两人到屏东垦丁旅游4天，期间少女父亲因打电话也无法让女儿回家，气得报警指李坤城涉犯和诱罪，李坤城到案否认。详情：不相信爱情的各位，看到爷孙恋相信了么……,5 7 岁 音 乐 人 带 小 女 友 出 游 女 方 父 告 其 诱 骗,父 亲 情 人 游 乐 信 情 女 儿 恋 情 牵 爷 爷
日前，演员张译独唱版《稳稳的幸福》MV发布。MV混剪《辣妈正传》与《抹布女也有春天》两部剧情节，将张译饰演的吴桐与元宝两个平凡男逆袭的故事凝练。孙俪、海清的搭档演绎让歌曲更具感染力。,张 译 《 稳 稳 的 幸 福 》 M V 孙 俪 海 清 友 情 出 演,吴 亦 凡 版 《 天 赋 》
据台湾媒体报道，高凌风出道39年，一生大起大落。当年做歌手红极一时的他，歌厅老板直接把钞票捧到他面前，光在歌厅表演1天就进帐20万元，然后用皮鞋盒子装钱回家，赚钱赚到他还花45万元买3把枪防身。,高 凌 风 曾 赚 钱 到 手 软 鞋 盒 装 钱 买 3 把 枪 防 身,大 年 初 生 歌 厅 花 3 万 元 买 3 万 元
快男6进5今晚22时将在湖南卫视播出！萧亚轩出任“V神”，尚雯婕帮唱华晨宇，江映蓉郁可唯也将助阵快男，春春将点评一众师妹！亮点不要太多三届选秀冠军舞台相遇，将擦出怎样的火花？想想都好期待,快 男 6 进 5 迎 大 考 萧 亚 轩 驾 到 众 师 姐 助 阵,今 晚 今 晨 播 出 今 晚 可 播 报
随着新专辑主打歌逐一亮相，唐朝乐队将于今年11月8日在北京展览馆剧场举办他们的“太阳·芒刺”音乐会。距上一张专辑《浪漫骑士》五年之隔，唐朝第四张专辑《芒刺》将在音乐会上首发，乐迷也将有机会得到成员在第一批新唱片上的亲笔签名。,唐 朝 1 1 月 北 展 开 演 神 秘 嘉 宾 将 登 场,唐 朝 芒 将 会 唱 歌
8日，#周杰伦#“魔天伦”巡演台北站的最终场在万人合唱邓丽君金曲《你怎么说》中画下句点。谈及与虚拟邓丽君隔空对唱的感受，周杰伦直言感觉她真的就在旁边，并预言虚拟技术的应用将成为一个潮流。,周 杰 伦 谈 虚 拟 邓 丽 君 ： 感 觉 她 就 在 身 边,周 杰 伦 ： 杰 丽 君 将 在 北 京
日前，#臧天朔#“2013面向大海演唱会”于北戴河开唱。臧天朔携乐队为乐迷唱响《朋友》《老玉米》《梦蝶》等老歌，《当铺》《问自己》《辽阔》新歌首曝光。李谷一、尹相杰等好友捧场。,臧 天 朔 复 出 北 戴 河 开 唱 李 谷 一 等 好 友 助 阵,曝 光 谷 歌 铺 开 唱 《 天 天 铺 》
水果姐凯蒂-佩里一组全新单曲《Roar》画面曝光，水果姐化身森林女王，穿豹纹内衣秀乳沟，更与猛虎对吼威武。MV点击：老虎、大象、鹦鹉、猴子等都齐齐上阵，水果姐果然是森林女王！！更多,凯 蒂 - 佩 里 新 单 《 R o a r 》 M V 首 播,果 果 女 化 水 果 畅 畅
9月5日，第8届首尔电视节在首尔举行，金在中凭《浮生若梦》获电视剧主题歌奖。他在红毯上大方脱外套，还吐舌比V逗粉丝。领奖时，他称要把这个奖给作曲者与作词的自己分享。57张大,金 在 中 红 毯 脱 衣 吐 舌 逗 粉 丝 获 奖 感 谢 自 己,张 尔 金 首 秀 张 敬 良
据台湾媒体报道，蕾哈娜曾被传过是双性恋，近有有媒体爆出她与女饶舌歌手、麻辣鸡妮琪米娜有蕾丝情。有爆料称麻辣鸡在派对上当众对蕾哈娜说“wantedtoF*CKYou”，蕾哈娜当晚即撇下友人同她一起离开，并在酒店共度一夜。,蕾 哈 娜 与 麻 辣 鸡 曝 蕾 丝 情 被 目 睹 共 度 春 宵,台 湾 情 侣 蕾 麻 辣 蕾 情 侣 被 曝 与 情 人 搭 台
神曲《成吉思汗》此前着实小火了一把，各种语言版轮番来袭！中文版原唱者张蝶近日首露面，接受新浪专访。跟着“HoHa！HoHa！”的节奏来看看原唱者来说说这首歌是怎样问世的：L视频：张蝶谈神曲《成吉思汗》走红,你 知 道 神 曲 《 成 吉 思 汗 》 是 谁 唱 的 么,吉 思 思 成 就 是 矫 情 的 原 因
10月1日至3日麒麟国际音乐节将在北京通州运河公园举行。首届麒麟国际音乐节将分别打造5个以流行、摇滚、民族、电子等音乐风格为核心的舞台，邀请到国内外100余组知名艺人及乐队参演。首批参演艺人名单由崔健领衔。,麒 麟 国 际 音 乐 节 首 批 阵 容 公 布 崔 健 领 衔,国 际 音 乐 节 将 在 京 举 行
中国男篮队员王仕鹏日前发微博称，他在CBA的一位19岁身高1.94米的帅气队友高尚被汪峰爱徒毕夏迷住了，说人家丫头长得漂亮，他只好代为做媒表白。毕夏得知被表白显得很害羞，表示很高兴但现在没时间分心。,男 篮 国 手 示 爱 好 声 音 美 女 学 员 求 交 往,男 友 高 峰 头 像 头 发 白 痴 身 亡
摇滚乐队唐朝将推出新专辑《芒刺》。作为唐朝乐队第四号作品，标题取“芒刺在背”之意，希望通过摇滚乐映射现代中国人的生存状态，鼓舞听者勇敢前行。专辑将于11月上市。9月起，专辑的歌曲及MV将陆续曝光。详情：老牌摇滚乐队回归季~,唐 朝 乐 队 专 辑 《 芒 刺 》 1 1 月 蓄 势 待 发,朝 芒 专 辑 将 推 新 专 辑 专 辑
麦莉因在VMA上的出位表演引发争议。接受采访时她表示这样的行为是2010年以来乐坛最入时的风格，她只是将这一趋势推向高潮，“及时行乐”就是时下流行乐的主题。表演回顾：详情：麦莉妹子如此大无畏~,麦 莉 称 V M A 夸 张 表 演 代 表 时 下 流 行 乐 主 题,麦 莉 莉 莉 回 应 “ 莉 莉 ”
据港媒报道，哥哥生前的摄影师好友夏永康为纪念张国荣，将于9月12号哥哥的生忌推出张国荣的纪念影集《MissYouMuch》，借着这批从未曝光的珍藏相片，让大家好好的保存对哥哥的怀念。,张 国 荣 纪 念 影 集 1 2 日 推 出 将 曝 光 珍 藏 照 片,曝 光 片 好 友 好 好
据台媒报道，8月29日是流行天王迈克尔-杰克逊55岁冥诞。他的妈妈凯萨琳日前接受专访，透露2009年杰克逊过世时，他的3名子女竟到停尸间看杰克逊高达10次之多，孩子们对丧父哀不可抑，对冰冷遗体又抱又亲。,杰 克 逊 子 女 不 舍 父 亲 多 次 到 停 尸 间 探 遗 体,台 风 遗 迈 克 尔 逝 世
昨晚，快男复活赛落幕。范世琦居来提挑战魏一宁、宋伟，经过PK获得唯一复活名额。虽然三年后再次无缘总决赛，但魏一宁依然微笑感谢粉丝。范世琦居来提两人将以组合形式在本周五晚踢馆全国六强选手。,快 男 范 世 琦 居 来 提 组 合 复 活,快 来 看 看 世 界 杯
据台媒报道，台湾中天综合台已获得《中国好声音2》版权并获得审批，将修剪用词并把冠名商标去除后播出。值得一提的是，好声音在台播出还将和庾澄庆台视《王子的约会》同时段对打。预告：L视频：《中国好声音》导师庾澄庆组预告,好 声 音 播 放 权 卖 到 台 湾 与 哈 林 节 目 对 打,《 中 国 好 声 音 》 将 获 好 版 权
据外媒报导，比伯和友人到加拿大的夜店玩乐，当他踏出VIP包厢准备加入民众热舞行列时，1名男性酒客突然窜出企图将他推倒在地。被推的比伯裤子滑落露出白内裤，最后夜店保安上前制止才平息这场风波。详情：比伯这回是被迫露内裤了,曝 贾 斯 汀 - 比 伯 泡 夜 店 遭 路 人 扑 倒 狠 揍 露 内 裤,男 子 酒 店 夜 夜 被 迫 入 室 袭 击 被 列 入 夜
快男热血复活战即将打响最后战役。今晚21:00将角逐出最后复活人选，他将作为唯一复活选手加入本周五比赛。到底，是人气领先的魏一宁晋级，还是J.F组合(范世琦&居来提)后来居上，又或者是宋伟成为最大黑马？,快 男 复 活 赛 将 上 演 揭 晓 踢 馆 唯 一 人 选,活 活 周 期 活 活
中国好声音张惠妹组导师考核上周五结束，阿妹眼泪流不停，网友吐槽她几乎把长城哭倒。此外阿妹被网友炮轰在分组选歌改编上的表现都太烂，导致学员发挥不佳。相反，打酱油的王力宏却成了节目的正主儿，帅哭了一众女粉丝。,张 惠 妹 被 批 打 坏 好 牌 选 歌 改 编 不 理 想,网 友 评 选 节 目 哭 着 哭
李宇春参与主演的话剧《如梦之梦》在台北为期半个月的演出昨晚落幕。李宇春接下来除了回归快男评委外，还要全力备战于10月5日在青岛和10月26日在上海举办的WhyMe演唱会。李宇春透露演唱会的主题是“快乐”。,李 宇 春 台 北 话 剧 收 官 回 归 快 男 备 战 个 唱,快 乐 快 来 唱 吧
当地时间2013年8月29日，美国洛杉矶，37岁“黑眼豆豆”主唱菲姬为老公乔什-杜哈明生下宝贝儿子。菲姬和乔什相恋4年，2009年初终于步入礼堂，菲姬早在去年9月受访时就曾表示期待孩子的到来，现在愿望终成真喽~恭喜恭喜！,3 7 岁 黑 眼 豆 豆 主 唱 菲 姬 诞 一 子 老 公 狂 喜,喜 嫩 ！ 美 国 儿 童 喜 欢 喜 欢
韩国《朝鲜日报》报道，朝鲜歌手玄松月等10多名朝鲜知名艺术家涉嫌违背金正恩的指示，制作、销售淫秽物品，20日被公开枪决。玄松月就是外界所传的朝鲜劳动党第一书记金正恩的旧恋人。,朝 鲜 女 歌 手 涉 拍 淫 片 被 枪 决 疑 金 正 恩 旧 爱,朝 鲜 知 名 金 正 恩 恋 上 被 指 涉 嫌 枪 手
据台湾《苹果日报》消息，46岁的王祖贤近日被疑整形走样，旧爱齐秦昨看到她在香港被拍的照片，感慨地说：“说不上来，好像没有当年那么清瘦，不过毕竟年纪有了，不需再跟以前比较。,齐 秦 叹 旧 爱 王 祖 贤 : 好 像 没 有 当 年 清 瘦,香 港 整 形 形 似 瘦 身
美国著名财经杂志《福布斯》公布了2013年度美国名人收入榜，55岁的麦当娜宝刀不老，力压群雄，以1.25亿美元(约7.6亿元)的年收入登顶榜首。据统计，麦当娜一年间巡演就卖了约3亿美元的门票，她在时尚领域的投资也为她赚得不少收入。,麦 当 娜 美 国 名 人 榜 收 入 夺 冠 年 入 7 . 6 亿,美 国 人 当 年 入 门 登 顶
“快男”启动“V神计划”后，每一期的V神都会形成话题，郭敬明在接受采访时自曝是“救火队员”，因为之前谈好的大咖耍大牌没来，自己才被邀来救场。据知情人透露“他发一条快男微博的费用都高达30万了”。,郭 敬 明 因 大 牌 爽 约 来 救 场 一 条 微 博 3 0 万,郭 台 铭 ： “ 我 的 神 ”
去年3月18日，网友邹某编造一条“李宇春死因：手术出现麻醉意外抢救无效心衰死亡”的虚假消息。随后，李宇春以侵犯名誉权起诉邹某。近日，李宇春方面撤诉，被告人邹某的代理律师表示此事对当事人造成伤害，不排除上诉要求赔偿。,李 宇 春 “ 被 死 亡 ” 案 撤 诉 被 告 人 可 能 上 诉,李 宇 俊 诉 死 伤 害 赔 偿
贾斯汀-比伯终于将在9月29日首次空降北京啦！在万事达中心举办“相信”世界巡演的中国首场演唱会。今日(8月27日)正式向全国公开售票，门票价格从480元至2580元不等！,比 伯 9 月 北 京 个 唱 正 式 开 票,北 京 首 次 向 贾 斯 汀 比 伯 票 降 价
李宇春2013“WhyMe”演唱会将于10月5日在青岛国信体育馆和10月26日在上海奔驰中心激情唱响。26日晚8点，李宇春2013“WhyMe”演唱会青岛站正式开票。69秒时间，近万张门票便被抢购一空。详情：多少玉米在电脑前刷网站呢,李 宇 春 W h y M e 青 岛 站 开 票,抢 票 会 抢 票 ， 抢 青 岛 ！
莫斯科，当地时间8月26日，俄罗斯著名歌手维塔斯被控在道路行驶众接受检查时袭警。法院判其交付10万卢布（约人民币18500元）的罚金。维塔斯当天微笑走出法院一身轻松。,维 塔 斯 被 判 袭 警 罚 款 1 0 万 卢 布 微 笑 出 法 院,莫 斯 科 歌 手 被 罚 1 0 0 0 万
11月2日，周杰伦将带着他的“魔天伦”巡回演唱会来到重庆。向来如铁人的周杰伦也表示近来身体不太好，瘦到只有59公斤，现在是出道以来最瘦的时候。此外，周杰伦还透露下一张专辑预计在明年春天面世。,周 杰 伦 瘦 到 5 9 公 斤 新 专 辑 明 春 面 世,周 杰 伦 ： 周 天 庆 已 有 5 5 周 年
北京时间8月26日上午，2013MTV音乐录影带大奖在纽约布鲁克林新建的巴克莱中心举行。蕾哈娜身穿T恤和牛仔裤现身观众席，看起来十分随性休闲。不过钻石项链还是很抢眼滴~高清,正 在 直 播 # 2 0 1 3 M T V 录 影 带 大 奖 #,大 妈 带 来 新 心 布 蕾 丝
北京时间8月26日上午，2013MTV音乐录影带大奖在纽约布鲁克林新建的巴克莱中心举行。刚刚表演完的麦莉塞勒斯，身穿肉色塑胶内衣，后台亲吻男星，对着镜头调皮吐舌。,正 在 直 播 # 2 0 1 3 M T V 录 影 带 大 奖 #,T V B 大 奖 带 来 麦 塞 克 莱 莉 新 衣
北京时间8月26日上午，2013MTV音乐录影带大奖在纽约布鲁克林新建的巴克莱中心举行。泰勒-斯威夫特短发亮相，长裙露胸秀曲线。高清图点击：180的身高真是太凶残了！！好长长长长长的腿啊！！,正 在 直 播 # 2 0 1 3 M T V 录 影 带 大 奖 #,泰 囧 ！ 泰 晤 长 大 闹 市 长 心 音 乐
北京时间8月26日上午，2013MTV音乐录影带大奖在纽约布鲁克林新建的巴克莱中心举行。LadyGaGa身穿黑色长裙鱼尾拖地亮相红毯，鼻环颇引人注目。高清图：造型就只是酱紫，小伙伴们有没有失望？,正 在 直 播 # 2 0 1 3 M T V 录 影 带 大 奖 #,大 V a d a T V 穿 红 黑 裙 带 鱼
北京时间8月26日上午，2013MTV音乐录影带大奖在纽约布鲁克林新建的巴克莱中心举行。埃利-古尔丁身穿铆钉长裙霸气亮相红毯。高清图：这叉腰的Pose一定很扎手吧~,正 在 直 播 # 2 0 1 3 M T V 录 影 带 大 奖 #,埃 尔 克 大 利 时 评 ： 大 奖
北京时间8月26日上午，2013MTV音乐录影带大奖在纽约布鲁克林新建的巴克莱中心举行。麦莉塞勒斯身穿紧身露肩黑衣亮相，吐舌搞怪显活泼。高清图点击：这小发型儿像不像哪吒？,正 在 直 播 # 2 0 1 3 M T V 录 影 带 大 奖 #,大 巴 布 斯 带 着 T V B
北京时间8月26日上午，2013MTV音乐录影带大奖在纽约布鲁克林新建的巴克莱中心举行。水果姐凯蒂佩里亮相红毯，紧身豹纹秀美腿，镶金蝴蝶美艳。红毯上的她拿出手机自拍，与粉丝合影，大展亲和力。,正 在 直 播 # 2 0 1 3 M T V 录 影 带 大 奖 #,大 红 豹 影 录 音 乐 亮 相
#Always刘德华世界巡演#首站9月11日上海展开，刘德华每天用8小时彩排，为求6块腹肌，他每天跑步练气、举哑铃、做仰卧起坐身等运动，饮食也全面配合，更早在两个月前就已戒掉油、盐、淀粉质。无限期待华仔新形象,刘 德 华 为 个 唱 每 天 排 练 8 小 时 地 狱 式 练 腹 肌,合 肥 天 然 气 排 卧 起 步 步 惊 动
李宇春日前接受采访，对于评委，她表示：选秀，从来就不是一个夏天能完成的事，要花上8年或者更久，才知道自己是否真正选出一个丰富的人；关于时尚，“时尚Icon”跟别的头衔，如“青年偶像”等没什么差别，它不会引起思考，它只是一个前缀。,李 宇 春 ： 青 春 仍 在 能 量 满 血,尚 才 是 否 尚 ？
牙套，这个曾经被大家嫌弃的矫正牙齿的工具，现已成为一件超正点的时尚单品。碧昂斯化身“吸血鬼”，蕾哈娜嘴里大胆“开枪”，麦当娜钻石牙套一秒钟变少女~如果你不想落伍，就赶快来牙套一下吧！,现 在 什 么 最 时 尚 ？ 欧 美 歌 手 告 诉 你 ： 是 牙 套 ！,“ 鬼 血 ” 变 “ 鬼 ”
L视频：好声音汪峰导师考核预告19日凌晨4点，杭州市滨江消防中队收到通知，滨江区长河镇有住户家中因突降暴雨被淹。赶赴现场后发现！屋内阿伯十分认真地在观看《#中国好声音#》！消防战士抽水的两个小时！阿伯始终淡定如一！,这 算 中 国 好 观 众 么,好 声 音 ！ 滨 江 小 镇 淡 定 迟 迟 未 发 声 音
19日凌晨杭州市住户家中因突降暴雨被淹。消防战士抵达现场铺设吸水管排水，屋内阿伯始终淡定地看着好声音。据悉，阿伯是好声音忠实粉丝，因工作错过节目所以趁消防员抽水时赶紧补上。详情：大叔就是爱音乐，你们不要打扰他~,杭 州 大 叔 屋 内 被 淹 水 中 淡 定 看 《 好 声 音 》,阿 里 水 好 声 音 乐 好
2013#快乐男声#全国总决赛9进8于上周五精彩上演。而主办方也终于在今日公布了第二位重量级V神人选，当当当当~他就是因电影《小时代》实现从作家到导演完美蜕变的郭敬明！你猜对了吗？,郭 敬 明 确 认 出 任 快 男 V 神 或 为 电 影 物 色 人 选,当 当 时 代 的 小 时 候 选
据台媒报道，孙燕姿将加盟新东家环球唱片，9月3日在新加坡举行亚洲记者会。目前加盟金和细节均未透露，只知双方接触一年多才做出决定，预计年底推出新专辑。有趣的是记者会举行地点就是她前年举行婚礼的酒店。详情：燕姿回归，各位期待不？,孙 燕 姿 加 盟 新 东 家 环 球 年 底 发 新 专 辑,新 加 坡 将 推 新 年 燕
以歌曲《朋友》成名的臧天朔，做了约4年半的“槛内人”，今年2月“出来”后，几乎同时消失于茫茫人海。对以前和“里面的事儿”绝不可提，只谈现状。他开始筹备演出和个唱，名字名为“面朝大海”，引用的海子的诗句。他说有音乐，所以人生从未放弃。,臧 天 朔 2 5 日 率 乐 队 复 出,歌 曲 面 歌 的 歌 曲
据外媒报道，歌手LadyGaga已决定与男友泰勒-金尼完婚，婚礼将在金尼家乡兰开斯特举行。婚礼预计将以比较传统的方式进行，届时将只邀请家人和好友。婚礼的日期尚未确定，但据伴娘称，婚礼应该在8月底举行。,曝 L a d y G a g a 8 月 底 将 与 男 友 完 婚,泰 勒 尼 特 将 婚 礼 将 于 2 0 1 4 年 开 放
L视频：范逸臣《什么风把你吹来的》MV范逸臣首波主打歌《什么风把你吹来的》，赴关岛挑战4300公尺高空跳伞拍摄MV，斥资150万元台币，打造全球第一支4DX特效热血MV。,# M V 热 播 # 范 逸 臣 《 什 么 风 把 你 吹 来 的 》 M V,范 风 吹 吹 歌 吹 风 吹 吹 歌 骏
L视频：中国好声音怪咖梁君诺《浮夸》好声音舞台上粉红头发的梁君诺一曲《浮夸》令人印象深刻。私底下酷爱视觉摇滚的梁君诺私照曝光，妖冶眼妆展现花美男帅气一面。有网友留言梁君诺酷似张根硕和Hyde！也有网友曝梁君诺曾整容。,# 中 国 好 声 音 # 花 美 男 梁 君 诺 私 照 曝 光,酷 似 炫 酷 似 酷 似 炫 酷
“杰克逊不朽传奇世界巡演”8月9日晚登陆北京万事达中心。整场演出时长2小时，由杰克逊的30余首作品串联而成，从他童年时期的表演，到传唱全球的《颤栗》等一系列巅峰之作。当晚，观众席不时传来高呼Michael的尖叫声。,M J 不 朽 传 奇 京 城 上 演,杰 克 逊 ： 从 小 时 候 到 声 明
新浪娱乐独家获悉，原定今晚21:10播出的天津卫视《军歌嘹亮》节目被喊停。《军歌嘹亮》献礼八一，仅播出一期。因广电总局“限歌令”的限制，该节目有可能改到10月份播出。天津卫视方面透露，具体恢复播出时间仍在敲定中。,天 津 卫 视 # 军 歌 嘹 亮 # 被 延 播,新 歌 《 我 的 歌 曲 》 今 天 出 播
JustinBieber将于9月在北京举行演唱会，这也是其2013“相信”世界巡演落地中国的首场演出。据悉，比伯此次世界巡演在中国内地共有三场演出，分别是大连、上海、北京。详情：好激动！！！你想去哪个城市看他？,贾 斯 汀 - 比 伯 9 月 登 陆 北 京 开 唱,唱 吧 ！ B r e s t e r i e s e r e
范冰冰确定加盟快男，本周将以“V神”身份出现，为观众代言，并非外界传言说的“取代霆锋”。据了解，之所以取名“V神”，是因为“V”代表胜利。范冰冰将根据场外观众的观点，有权决定选手晋级与否。L视频：范冰冰加盟快男V神版宣传片,范 冰 冰 化 身 V 神 评 快 男 非 顶 替 谢 霆 锋,范 冰 冰 将 加 盟 传 范 冰 冰
衢州开化县塘坞乡和平村大埂村野猪很多，半夜经常下山拱玉米，村民们放鞭炮、点煤油灯，效果都不好。而自从村民余有兰在田间循环播放《最炫民族风》后，野猪下山了，就连隔壁玉米地也不再受野猪侵扰。,村 民 放 最 炫 民 族 风 赶 野 猪 比 鞭 炮 效 果 好,野 猪 山 鞭 炮 野 村 下 放 野 猪
近日，快男评委谢霆锋出面斥责与周迅绯闻“Low到爆”，急于与周迅撇清关系，昨日新快报记者从天娱方面证实，本周谢霆锋确定将缺席“快男”直播，但原因目前不明。此外，范冰冰本周确定加盟快男。,谢 霆 锋 缺 席 本 周 快 男 疑 受 周 迅 绯 闻 困 扰,周 迅 冰 将 与 周 末 快 播
艾薇儿前日来到广州，在音乐会上唱足一个小时，只见她又唱又跳，显然用行动回击了关于她奉子成婚的传闻。据悉，这次艾薇儿携其第二任丈夫克罗格同行，但她在媒体采访时并未提起丈夫，克罗格也很低调避免被媒体拍到。,艾 薇 儿 广 州 会 歌 迷 卖 力 跳 唱 证 未 怀 孕,艾 薇 妻 子 携 艾 薇 带 回 家
歌手松浦亚弥与男子组合w-inds主唱橘庆太已领证。据称，8月4日当天，他们天还没亮就去申请入籍，并且两人将于今年秋天在夏威夷举行婚礼。松浦亚弥称，“我的青春里全部都有他，那些悲伤的、辛苦的、开心的一切。,松 浦 亚 弥 与 橘 庆 太 已 领 结 婚 证,青 春 歌 手 与 亚 太 合 唱
演艺圈跨行并不是什么新鲜事，自从年初海泉在《我是歌手》节目中出任主持人后，田震、杨钰莹、杨坤、韩红等歌手前赴后继跨行主持。然而，唱的好未必说的好，歌手跨行当主持人，等待他们的一半是褒奖，一半是板砖。,歌 手 扎 堆 做 主 持 唱 的 好 未 必 说 的 好,跨 行 行 为 何 以 后 主 持 人
明星减肥是个老话题，近年来消停了一阵，而现在话题重启，明星减肥已经升级了，比如吃虫减肥。。。日前，有网友曝料李代沫曾重达300斤，而瘦身秘方是吞噬活虫！这让小伙伴们惊呆了。提示：如果你正在吃饭，请不要看这篇文章,李 代 沫 被 曝 吞 活 虫 减 肥 3 0 斤 8 条 价 格 8 0 万,重 胖 虫 胖 减 肥 斤 重 瘦 身
7月24日晚，广电总局发布对歌唱类选拔节目进行调控的消息。记者第一时间采访各大卫视和业内人士，大家普遍反映该规定对节目影响不大，而从歌唱类节目转到其他类型节目从市场角度来看也势在必行。详细：各位觉得调控新规怎么样？,追 访 广 电 总 局 新 规 歌 唱 选 秀 转 型 势 在 必 行,电 视 节 目 调 控 目 标
中国好声音中来自香港的摇滚大叔钟伟强受到关注。不仅因为他60岁依然活跃在舞台，还因为他两次泪崩让导演组破例准许重录，更因为他自曝曾击败张国荣。新浪娱乐连线钟伟强回应质疑，并畅谈曾经的岁月，回忆关于张国荣的故事。,专 访 钟 伟 强 ： 未 向 毛 舜 筠 表 白 张 国 荣 外 号 鱼 男,张 国 荣 ： 中 国 好 声 音 音 乐 是 因
据《东南快报》新闻，相对苏醒雪藏，李炜却反受天娱重用，其演唱的主题歌《enjoymylife》更被郭敬明相中，成为《小时代2》的主题歌。对此李炜经纪人暂无回应。,李 炜 获 天 娱 力 捧 传 将 唱 《 小 时 代 2 》 主 题 曲,《 歌 明 天 》 主 题 主 题 曲
AEG中国近日宣布，贾斯汀-比伯将在10月5日强势登陆上海。届时，这位流行小天王将携其全新2013“相信”世界巡演在上海梅赛德斯-奔驰文化中心带来一场视听盛宴！据悉本场演出将于8月1日起公开售票。详情：比伯来了，各位期待吗？,贾 斯 汀 - 比 伯 1 0 月 5 日 上 海 开 唱 8 月 1 日 售 票,贾 斯 汀 比 伯 上 演 唱 会
据台湾媒体报道，罗志祥、萧亚轩和金牌大风约满后将携手跳槽索尼，下周将在北京举行签约记者会。两人经纪人蒋承缙表示和索尼合作意愿高，但合约内容还在做最后评估，尚未完全确认。据悉，两人签约金都超过8位数。,罗 志 祥 萧 亚 轩 携 手 跳 索 尼 签 约 金 高 达 8 位 数,合 约 金 靴 子 约 会 牵 手 罗 风
南方二重唱在1998年推出最后一张城市新民谣专辑《太阳恋爱了》。近日，时隔十五年，南方二重唱正式推出全新单曲《流浪春天的侧记》，歌曲将在7月22日全国电台首播。并邀请到“好妹妹乐队”共同录制四重奏版本。,南 方 二 重 唱 时 隔 1 5 年 发 单 曲,专 辑 新 版 《 唱 歌 》
魔力红乐队主唱代理本周二对外确认，34岁主唱亚当-莱文已经同“维多利亚的秘密”超模贝哈蒂·普林斯露正式订婚！两人年龄相差10岁，去年开始约会，春季分手但又于近日复合，骚当周末在洛杉矶向小南瓜求婚成功！恭喜！,骚 当 与 小 南 瓜 正 式 订 婚,哈 维 再 迎 娶 3 岁 嫩 模 魔 ！
L视频：中国好声音刘雅婷《IWannaRock》随着好声音启幕，18岁酒吧歌手刘雅婷一直站在风口浪尖。面对质疑，她反而十分淡定：我从没说自己清纯，我就是喜欢奇装异服。18岁女孩的感情：“谁不懂事时没谈过几次恋爱啊”，蓦地又沧桑感叹“好男人真心太少”。,# 中 国 好 声 音 # 专 访 刘 雅 婷,刘 奇 奇 ： 少 女 恋 爱 少 男 孩
L视频：中国好声音刘雅婷《IWannaRock》#中国好声音#昨晚首位登场的18岁清纯少女刘雅婷摇滚范亮相，极大反差令人印象深刻，可爱模样令网友直呼：胖得很美。不过有网友曝光其生活旧照，浓妆艳抹献吻大叔，爆乳装性感火辣。,这 是 那 个 好 声 音 清 纯 小 胖 妹 么,刘 雅 登 登 记 曝 光
英国电子乐团体宠物店男孩即将于8月22日登陆北京万事达中心，宠物店男孩会带着SummerSonic音乐节演出的原班人马来华巡演，为国内电子乐迷带来他们梦幻的演出，呈现原汁原味的英伦风。北京站演出门票已于7月4日正式开票。,宠 物 店 男 孩 演 唱 会 开 票 个 唱 呈 现 原 味 英 伦 风,英 国 男 子 带 2 万 英 镑 带 来 乐 迷 团
组合PetShopBoys成军32年以来，凭借出色的表现在全世界范围内获得较高的人气和口碑。据了解，宠物店男孩“触电现场”演唱会上海站已于7月1日全面开票，北京站门票于也于7月4日上午10点正式公开发售！敬请期待！,宠 物 店 男 孩 北 京 演 唱 会 正 式 开 票,合 肥 “ 全 面 ” 开 门 票
近日，有网友曝料李宇春将担任快男评委。李宇春经纪人表示确实接到邀请，但春春有一些重要工作时间安排与快男直播冲突，所以还没最终确定是否参加。但记者也从知情人处获悉，李宇春加盟快男评委已板上钉钉。,曝 李 宇 春 任 快 男 评 委 回 应 ： 没 最 终 确 定,快 评 委 员 李 宇 春 被 评
近日，李宇春登上杂志封面，一组黑白时尚大片再度演绎春式时尚。8年过去了，李宇春依然坚持着笔直范儿，从不屈服。在所有的议论下，令人欣慰的是，娱乐圈没有改变李宇春的独行特立，她依旧会说：“缺点，也是一种范儿！”点击看美,李 宇 春 再 登 杂 志 封 面 黑 白 大 片 演 绎 时 尚,李 宇 宇 ： 不 会 过 去 的 范 儿
